town,municipality_type,county,town_website,clerk_name,clerk_email,clerk_phone,clerk_mailing_address,source,notes
Hancock,Town,Addison,https://www.hancockvt.org/,,,,,,
Hartford,Town,Windsor,https://www.hartford-vt.org/,,,,,,
Highgate,Town,Franklin,https://www.highgatevt.org/,,,,,,
Hinesburg,Town,Chittenden,https://www.hinesburg.org/,,,,,,
Huntington,Town,Chittenden,https://www.huntingtonvt.org/,,,,,,
Jamaica,Town,Windham,https://www.jamaicavermont.org/,,,,,,
Jay,Town,Orleans,https://www.jayvt.com/,,,,,,
Killington,Town,Rutland,https://www.killingtontown.com/,,,,,,
Kirby,Town,Caledonia,https://www.kirbyvt.gov/,,,,,,
Leicester,Town,Addison,https://www.leicestervt.org/,,,,,,
Londonderry,Town,Windham,https://www.londonderryvt.org/,,,,,,
Ludlow,Town,Windsor,https://www.ludlow.vt.us/,,,,,,
Lyndonville,Village,Caledonia,https://www.lyndonvt.org/,,,,,,
Maidstone,Town,Essex,https://www.maidstone-vt.org/,,,,,,
Milton,Town,Chittenden,https://www.miltonvt.gov/,,,,,,
Montpelier,City,Washington,https://www.montpelier-vt.org/,,,,,,
Moretown,Town,Washington,https://www.moretownvt.org/,,,,,,
Newbury,Town,Orange,https://www.newburyvt.org/,,,,,,
New Haven,Town,Addison,https://www.newhavenvt.com/,,,,,,
Newport,City,Orleans,https://www.newportvermont.org/,,,,,,
Northfield,Town,Washington,https://www.northfield-vt.gov/,,,,,,
North Hero,Town,Grand Isle,https://www.northherovt.com/,,,,,,
Panton,Town,Addison,https://www.pantonvt.us/,,,,,,
Peru,Town,Bennington,https://www.peruvt.org/,,,,,,
Pittsford,Town,Rutland,https://www.pittsfordvermont.com/,,,,,,
Plainfield,Town,Washington,https://www.plainfieldvt.gov/,,,,,,
Plymouth,Town,Windsor,https://www.plymouthvt.org/,,,,,,
Poultney,Town,Rutland,https://www.poultney.vt.gov/,,,,,,
Putney,Town,Windham,https://www.putneyvt.org/,,,,,,
Richford,Town,Franklin,https://www.richfordvt.org/,,,,,,
Richmond,Town,Chittenden,https://www.richmondvt.gov/,,,,,,
Ripton,Town,Addison,https://www.riptonvermont.org/,,,,,,
Rockingham,Town,Windham,https://www.rockinghamvt.org/,,,,,,
Rutland,City,Rutland,https://www.rutlandcity.org/,,,,,,
Ryegate,Town,Caledonia,https://www.ryegatevt.org/index.html,,,,,,
Shaftsbury,Town,Bennington,https://www.shaftsburyvt.gov/,,,,,,
Shelburne,Town,Chittenden,https://www.shelburnevt.org/,,,,,,
Shrewsbury,Town,Rutland,https://www.shrewsburyvt.org/,,,,,,
South Burlington,City,Chittenden,https://www.southburlingtonvt.gov/,,,,,,
St. Albans,City,Franklin,https://www.stalbansvt.com/,,,,,,
Starksboro,Town,Addison,https://www.starksborovt.org/,,,,,,
Strafford,Town,Orange,https://www.straffordvt.org/,,,,,,
Sutton,Town,Caledonia,https://www.suttonvt.org/,,,,,,
Swanton,Town,Franklin,https://www.swantonvt.gov/,,,,,,
Thetford,Town,Orange,https://www.thetfordvt.gov/,,,,,,
Williston,Town,Chittenden,https://www.town.williston.vt.us/,,,,,,
Brandon,Town,Rutland,https://www.townofbrandon.com/,,,,,,
Georgia,Town,Franklin,https://www.townofgeorgia.com/,,,,,,
Middlebury,Town,Addison,https://www.townofmiddlebury.org/,,,,,,
Pownal,Town,Bennington,https://www.townofpownal.org/,,,,,,
Salisbury,Town,Addison,https://www.townofsalisbury.org/,,,,,,
Stowe,Town,Lamoille,https://www.townofstowevt.org/,,,,,,
Stratton,Town,Windham,https://www.townofstrattonvt.com/,,,,,,
Topsham,Town,Orange,https://www.townoftopshamvt.org/,,,,,,
Weybridge,Town,Addison,https://www.townofweybridge.org/,,,,,,
Underhill,Town,Chittenden,https://www.underhillvt.gov/,,,,,,
Vergennes,City,Addison,https://www.vergennes.org/,,,,,,
North Bennington,Village,Bennington,https://www.villagenorthbennington.org/,,,,,,
Waitsfield,Town,Washington,https://www.waitsfieldvt.us/,,,,,,
Wallingford,Town,Rutland,https://www.wallingfordvt.com/,,,,,,
Waltham,Town,Addison,https://www.walthamvt.org/,,,,,,
Wardsboro,Town,Windham,https://www.wardsborovt.gov/,,,,,,
Warren,Town,Washington,https://www.warrenvt.org/,,,,,,
Waterbury,Town,Washington,https://www.waterburyvt.com/,,,,,,
Waterford,Town,Caledonia,https://www.waterfordvt.org/,,,,,,
Weathersfield,Town,Windsor,https://www.weathersfieldvt.org/,,,,,,
Wells River,Village,Orange,https://www.wellsrivervillage.org/,,,,,,
Westminster,Town,Windham,https://www.westminstervt.org/,,,,,,
Westmore,Town,Orleans,https://www.westmoreonline.org/,,,,,,
Weston,Town,Windsor,https://www.westonvt.org/,,,,,,
West Rutland,Town,Rutland,https://www.westrutlandvt.org/,,,,,,
Windsor,Town,Windsor,https://www.windsorvt.org/,,,,,,
Winhall,Town,Bennington,https://www.winhall.org/,,,,,,
Winooski,City,Chittenden,https://www.winooskivt.gov/,,,,,,
Woodbury,Town,Washington,https://www.woodburyvt.org/,,,,,,
Worcester,Town,Washington,https://www.worcestervt.org/,,,,,,
